dif	sp	mType	tel	ax
0.376169253144228	G	C-to-T	19R	A
0.802832808659039	G	C-to-T	21R	A
0.747150957696528	G	C-to-T	22R	A
-1.02999455027359	G	C-to-T	PAR1	PAR1
0.516351256107161	G	CpG-to-TpG	2R	A
-1.90415272989063	G	CpG-to-TpG	4R	A
-0.513326083122378	G	CpG-to-TpG	5R	A
-1.71882693504826	G	CpG-to-TpG	6L	A
-0.306727562412184	G	CpG-to-TpG	6R	A
0.378905490509381	G	CpG-to-TpG	7R	A
-0.518401976626895	G	CpG-to-TpG	8L	A
0.534374853866637	G	CpG-to-TpG	8R	A
1.07728151106274	G	CpG-to-TpG	9R	A
-0.463927863820969	G	CpG-to-TpG	10L	A
0.83447331374578	G	CpG-to-TpG	10R	A
1.45148858664936	G	CpG-to-TpG	11L	A
-1.61499236131468	G	CpG-to-TpG	11R	A
-1.57853303420265	G	CpG-to-TpG	12L	A
0.747174240677879	G	CpG-to-TpG	12R	A
0.757924747380755	G	CpG-to-TpG	13R	A
0.75709212657463	G	CpG-to-TpG	14R	A
1.13180889518598	G	CpG-to-TpG	16L	A
0.80561821992084	G	CpG-to-TpG	16R	A
-0.440006488444786	G	CpG-to-TpG	17L	A
-0.370421897757444	G	CpG-to-TpG	18R	A
0.983188317560376	G	CpG-to-TpG	19L	A
-1.17777917801745	G	CpG-to-TpG	19R	A
0.927922048992781	G	CpG-to-TpG	21R	A
0.744301826267954	G	CpG-to-TpG	22R	A
-1.04080932384392	G	CpG-to-TpG	PAR1	PAR1
-0.471296587825828	G	T-to-A	2R	A
2.66896783540715	G	T-to-A	4R	A
0.13993814977056	G	T-to-A	5R	A
0.939537384237008	G	T-to-A	6L	A
0.384817049072916	G	T-to-A	6R	A
0.10747382582002	G	T-to-A	7R	A
1.71738221604652	G	T-to-A	8L	A
-0.38422191521886	G	T-to-A	8R	A
-0.744909873152395	G	T-to-A	9R	A
0.54871734248436	G	T-to-A	10L	A
-0.684613034230005	G	T-to-A	10R	A
-1.727055975616	G	T-to-A	11L	A
1.0000822640078	G	T-to-A	11R	A
0.301806077214345	G	T-to-A	12L	A
-0.909619199518757	G	T-to-A	12R	A
-0.164158906508283	G	T-to-A	13R	A
-0.787423089204049	G	T-to-A	14R	A
-1.05157040226679	G	T-to-A	16L	A
-0.685959074965127	G	T-to-A	16R	A
-0.0561483940314583	G	T-to-A	17L	A
0.61741869236608	G	T-to-A	18R	A
-1.33852037787868	G	T-to-A	19L	A
1.47895044120101	G	T-to-A	19R	A
-0.549780917189162	G	T-to-A	21R	A
-0.987125898227773	G	T-to-A	22R	A
0.637312368205404	G	T-to-A	PAR1	PAR1
-0.244532501884449	G	T-to-C	2R	A
1.58433725489574	G	T-to-C	4R	A
0.822359643827639	G	T-to-C	5R	A
2.12807755344327	G	T-to-C	6L	A
0.607665524083651	G	T-to-C	6R	A
0.091014183857183	G	T-to-C	7R	A
-0.833971659816633	G	T-to-C	8L	A
-0.76873248092715	G	T-to-C	8R	A
-0.971852118127061	G	T-to-C	9R	A
0.534406077778863	G	T-to-C	10L	A
-0.318140956938689	G	T-to-C	10R	A
-1.53020340153159	G	T-to-C	11L	A
1.51165770399027	G	T-to-C	11R	A
1.96403969693742	G	T-to-C	12L	A
-0.297257437002592	G	T-to-C	12R	A
0.0142361137413696	G	T-to-C	13R	A
-0.724963512948483	G	T-to-C	14R	A
-1.50611903873205	G	T-to-C	16L	A
-0.784081366843825	G	T-to-C	16R	A
0.347226109984413	G	T-to-C	17L	A
0.628625043145454	G	T-to-C	18R	A
-1.39593335107422	G	T-to-C	19L	A
0.105351008206981	G	T-to-C	19R	A
-0.665251849980962	G	T-to-C	21R	A
-0.527117659500062	G	T-to-C	22R	A
0.229161421415493	G	T-to-C	PAR1	PAR1
-0.292852226143296	G	T-to-G	2R	A
1.40368572358746	G	T-to-G	4R	A
1.70880837948689	G	T-to-G	5R	A
1.45428120855979	G	T-to-G	6L	A
0.284279926839987	G	T-to-G	6R	A
0.00873774779662297	G	T-to-G	7R	A
0.366090050807974	G	T-to-G	8L	A
-1.27900973515748	G	T-to-G	8R	A
-1.01092127789178	G	T-to-G	9R	A
0.836976875012886	G	T-to-G	10L	A
-0.441439397730703	G	T-to-G	10R	A
-1.78216443355298	G	T-to-G	11L	A
1.26665808926224	G	T-to-G	11R	A
1.37889611911237	G	T-to-G	12L	A
-0.167152827971773	G	T-to-G	12R	A
-0.156268044491274	G	T-to-G	13R	A
-0.979980542803701	G	T-to-G	14R	A
-1.13203235441779	G	T-to-G	16L	A
-0.589093872325747	G	T-to-G	16R	A
0.56435568588436	G	T-to-G	17L	A
0.503834893848583	G	T-to-G	18R	A
-1.43590445786166	G	T-to-G	19L	A
-0.606073040089836	G	T-to-G	19R	A
-0.631621656622483	G	T-to-G	21R	A
-0.673422227051238	G	T-to-G	22R	A
